Date,Artist,Album,Rating,Notes
3/12/2020,Gil Scott-Heron and Makaya McCraven,We're New Again - A Reimagining by Makaya McCraven,8,repeat!!!
3/12/2020,Buffy Sainte-Marie,Illuminations,7-8,get into!!!
3/12/2020,Anna Calvi,Hunted,7-8,repeat!!!
3/13/2020,Jon Benjamin - Jazz Daredevil,"Well, I Should Have...*",8,
3/13/2020,Chubby and The Gang,Speed Kills,8,repeat!!!
3/14/2020,Dixie Chicks,Home,8,
3/14/2020,Oliver Nelson and Joe Newman,Main Stem,8-9,repeat!!!
3/15/2020,Christian Scott aTunde Adjuah,Ancestral Recall,7-8,
3/15/2020,Jeff Parker,Suite for Max Brown,8-9,repeat!!!
3/16/2020,Big Thief,U.F.O.F.,7-8,
3/16/2020,FKA twigs,MAGDALENE,7-8,repeat!
3/16/2020,Lana Del Rey,Norman Fucking Rockwell!,7,
3/16/2020,Tanya Tucker,While I'm Livin',6,"bailed at first song when they said, ""like arabs on the track"""
3/16/2020,Angel Olsen,All Mirrors,8,repeat!!!
3/16/2020,Helado Negro,This Is How You Smile,8,get into!!!
3/16/2020,Bad Bunny,X100PRE,7-8,
3/16/2020,Solange,When I Get Home,7-8,
3/16/2020,Weyes Blood,Rough Trade Session,8,
3/17/2020,Weyes Blood,Titanic Rising,9-10,repeat!!!
3/17/2020,Fennesz,Agora,8,
3/17/2020,(Sandy) Alex G,House of Sugar,8-9,repeat!!! and get into!!!
3/17/2020,Dwellings,Lavender Town,8-9,repeat!!! and get into!!!
3/17/2020,Bon Iver,"i,i",7-8,
3/17/2020,Big Thief,Two Hands,8-9,repeat!!!
3/17/2020,Desert Sessions,Vols 11 & 12,9,repeat!!!
3/18/2020,Bill Callahan,Shepherd in a Sheepskin Vest,7-8,get into!!!
3/18/2020,Brittany Howard,Jaime,8,
3/18/2020,glass beach,the first glass beach album,9,repeat!!!
3/19/2020,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",8,
3/19/2020,Cate le Bon,Reward,7-8,repeat!
3/19/2020,"Tyler, The Creator",IGOR,8,repeat!!!
3/19/2020,Clairo,Immunity,7-8,
3/20/2020,Jamila Woods,LEGACY! LEGACY!,7-8,
3/20/2020,Purple Mountains,Purple Mountains,9-10,BUY!!!
